Model,Feature,Posterior_Mean_Coefficient,Lower_95,Upper_95,Selected,Abs_Coefficient,Rank,Regime
Regime Bayesian LASSO - Crisis,MACD_Signal,-0.10332662570471023,-1.2893009963767998,1.1864026551110676,False,0.10332662570471023,12,Crisis
Regime Bayesian LASSO - Crisis,MACD,0.10230179399250047,-1.2141750014849533,1.3556575365022983,False,0.10230179399250047,13,Crisis
Regime Bayesian LASSO - Crisis,Close_to_SMA_10,0.09212198726251929,-0.06020971704815767,0.239034097455771,False,0.09212198726251929,14,Crisis
Regime Bayesian LASSO - Crisis,Momentum_10,-0.07136585976348937,-0.1348374753147417,-0.014964954707790057,False,0.07136585976348937,15,Crisis
Regime Bayesian LASSO - Crisis,Volume_Ratio,-0.06571200826067533,-0.09419205960645605,-0.03891537724871741,False,0.06571200826067533,16,Crisis
Regime Bayesian LASSO - Crisis,Bollinger_Position,0.05325754141911543,-0.004950999905013071,0.11061359565976137,False,0.05325754141911543,17,Crisis
Regime Bayesian LASSO - Crisis,RSI_14,0.04135996154799408,-0.017396485987765532,0.09300556349258413,False,0.04135996154799408,18,Crisis
Regime Bayesian LASSO - Crisis,Bollinger_Width,0.020049386465898253,-0.027026656205780143,0.06104317622476646,False,0.020049386465898253,19,Crisis
Regime Bayesian LASSO - Crisis,ATR_14,-0.01333085599173756,-0.03901857823099559,0.009378408916560001,False,0.01333085599173756,20,Crisis
Regime Bayesian LASSO - Crisis,OBV_Change,-0.007083149432240097,-0.028683363567745947,0.014614589506592262,False,0.007083149432240097,21,Crisis
